Cognome;Nome Completo;Ruolo;Ruoli Mantra;Quotazione attuale;Quotazione iniziale;Squadra;Piede;Nazionalità;Data Nascita;Foto;Media Voto;Media Fantavoto
Farinez;Farinez Wuilker;P;Por;1;1;Lens;destro;Colombia;15/02/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Leca;Leca Jean-Louis;P;Por;1;1;Lens;destro;Francia;21/09/1985 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Samba;Samba Brice;P;Por;15;9;Lens;destro;"Francia;Congo";25/04/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Danso;Danso Kevin;D;Dc;9;12;Lens;destro;Austria;19/09/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Khusanov;Khusanov Adbukodir;D;Dc;2;3;Lens;ambidestro;Uzbekistan;29/02/2004 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Gradit;Gradit Jonathan;D;"Dd;Dc";6;5;Lens;destro;Francia;24/11/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Haidara M.;Haidara Massadio;D;"Ds;Dc";3;5;Lens;sinistro;"Mali;Francia";02/12/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Medina;Medina Facundo;D;"Ds;Dc";9;6;Lens;sinistro;Argentina;28/05/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Le Cardinal;Le Cardinal Julien;D;"Dd;E";2;1;Lens;destro;Francia;03/08/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Machado;Machado Deiver;D;"Ds;E";7;8;Lens;sinistro;Colombia;02/09/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Cabot;Cabot Jimmy;C;"E;W";1;1;Lens;destro;Francia;18/04/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Frankowski;Frankowski Przemyslav;C;"E;W";10;11;Lens;destro;Polonia;12/04/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Abdul Samed;Abdul Samed Salis;C;"M;C";4;5;Lens;destro;Ghana;26/03/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
El Aynaoui;El Aynaoui Neil;C;"M;C";11;3;Lens;destro;"Francia;Marocco";02/07/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Poreba;Poreba Lukasz;C;"M;C";1;1;Lens;destro;Polonia;13/03/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Spierings;Spierings Stijn;C;"M;C";3;4;Lens;destro;Olanda;12/03/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Diouf;Diouf Andy;C;C;5;7;Lens;sinistro;"Francia;Senegal";17/05/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Cortes;Cortes Oscar;C;W;5;8;Lens;destro;Colombia;03/12/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Costa D.;Costa David;C;T;21;7;Lens;sinistro;"Portogallo;Francia";05/01/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Thomasson;Thomasson Adrien;C;T;7;10;Lens;sinistro;"Francia;Croazia";10/12/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Fulgini;Fulgini Angelo;C;"W;T";9;5;Lens;destro;"Francia;Costa d''Avorio";20/08/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Guilavogui M.;Guilavogui Morgan;A;A;10;6;Lens;destro;"Guinea;Francia";10/03/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Said;Said Wesley;A;A;24;7;Lens;destro;"Francia;Comore";19/04/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Sotoca;Sotoca Florian;A;A;22;7;Lens;destro;Francia;25/10/1990 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Kohn;Kohn Philipp;P;Por;7;7;Monaco;destro;"Svizzera;Germania";02/04/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Lienard;Lienard Yann;P;Por;1;1;Monaco;destro;Francia;16/03/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Majecki;Majecki Radoslaw;P;Por;12;1;Monaco;destro;Polonia;16/11/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Disasi;Disasi Axel;D;Dc;5;8;Chelsea;destro;"Repubblica Democratica del Congo;Francia";11/03/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Maripan;Maripan Guillermo;D;Dc;6;9;Monaco;destro;Cile;06/05/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Matsima;Matsima Chrislain;D;Dc;2;2;Monaco;destro;"Francia;Congo";15/05/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Okou;Okou Yllan;D;Dc;1;1;Monaco;sinistro;"Francia;Costa d''Avorio";23/12/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Salisu;Salisu Mohammed;D;Dc;6;6;Monaco;sinistro;Ghana;17/04/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Aguilar;Aguilar Ruben;D;"Dd;E";13;5;Lens;destro;"Francia;Spagna";26/04/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Vanderson;Vanderson;D;"Dd;E";5;9;Monaco;destro;Brasile;21/06/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Caio Henrique;Caio Henrique;D;"Ds;E";7;11;Monaco;sinistro;Brasile;31/07/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
