Cognome;Nome Completo;Ruolo;Ruoli Mantra;Quotazione Attuale;Quotazione Iniziale;Squadra;Piede;Nazionalità;Data Nascita;Foto;Media Voto;Media Fantavolo
Carnesecchi;Carnesecchi Marco;P;Por;16;11;Atalanta;destro;Italia;01/07/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CARNESECCHI.png?v=56;6.19;5.38
Musso;Musso Juan;P;Por;5;3;Atalanta;destro;"Argentina;Italia";06/05/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MUSSO.png?v=56;6.14;5.05
Rossi F.;Rossi Francesco;P;Por;3;1;Atalanta;destro;Italia;27/04/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ROSSI-F.png?v=56;6.5;6.5
Demiral;Demiral Merih;D;Dc;8;8;Atalanta;ambidestro;Turchia;05/03/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/DEMIRAL.png?v=56;0.0;0.0
Djimsiti;Djimsiti Berat;D;Dc;8;7;Atalanta;destro;"Albania;Svizzera";16/02/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/DJIMSITI.png?v=56;5.94;5.91
Okoli;Okoli Caleb;D;Dc;4;2;Frosinone;destro;Nigeria;13/07/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/OKOLI.png?v=56;5.72;5.62
Palomino;Palomino Josè Luis;D;Dc;1;7;Atalanta;sinistro;Argentina;05/01/1990 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/PALOMINO.png?v=56;0.0;0.0
Scalvini;Scalvini Giorgio;D;Dc;11;9;Atalanta;destro;Italia;11/12/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/SCALVINI.png?v=56;6.05;6.09
Toloi;Toloi Rafael;D;Dc;4;9;Atalanta;destro;"Brasile;Italia";10/10/1990 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/TOLOI.png?v=56;5.88;5.65
Kolasinac;Kolasinac Sead;D;"Ds;Dc";9;10;Atalanta;sinistro;"Bosnia Erzegovina;Germania";20/06/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/KOLASINAC.png?v=56;6.03;6.07
Ruggeri;Ruggeri Matteo;D;"Ds;E";11;4;Atalanta;sinistro;Italia;11/07/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/RUGGERI.png?v=56;5.98;6.09
Zortea;Zortea Nadir;D;"Dd;Ds;E";16;4;Frosinone;destro;Italia;19/06/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ZORTEA.png?v=56;6.16;6.63
Bakker;Bakker Mitchel;D;E;3;11;Atalanta;sinistro;Olanda;20/06/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BAKKER.png?v=56;5.72;6.0
Hateboer;Hateboer Hans;D;E;5;6;Atalanta;destro;Olanda;09/01/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/HATEBOER.png?v=56;5.83;5.78
Maehle;Maehle Joakim;D;E;10;10;Atalanta;destro;Danimarca;20/05/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MAEHLE.png?v=56;0.0;0.0
Soppy;Soppy Brandon;D;E;2;2;Torino;destro;"Francia;Costa d''Avorio";21/02/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/SOPPY.png?v=56;5.83;5.83
Zappacosta;Zappacosta Davide;D;E;10;14;Atalanta;destro;Italia;11/06/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ZAPPACOSTA.png?v=56;5.92;6.06
Adopo;Adopo Michel Ndary;C;"M;C";2;2;Atalanta;destro;"Francia;Costa d''Avorio";19/07/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;5.75;6.0
De Roon;De Roon Marten;C;"M;C";8;12;Atalanta;destro;Olanda;29/03/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/DE-ROON.png?v=56;5.97;5.97
Ederson D.s.;Ederson da Silva;C;"C;T";18;10;Atalanta;destro;Brasile;07/07/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/EDERSON-DS.png?v=56;6.16;6.59
Koopmeiners;Koopmeiners Teun;C;"C;T";29;24;Atalanta;sinistro;Olanda;28/02/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/KOOPMEINERS.png?v=56;6.41;7.58
Pasalic;Pasalic Mario;C;T;20;13;Atalanta;destro;Croazia;09/02/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/PASALIC.png?v=56;6.22;6.92
Miranchuk;Miranchuk Aleksej;C;"T;A";18;10;Atalanta;sinistro;Russia;17/10/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MIRANCHUK.png?v=56;6.21;6.86
Cambiaghi;Cambiaghi Nicolò;A;A;13;12;Empoli;destro;Italia;28/12/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CAMBIAGHI.png?v=56;6.14;6.20
